# 0 m/s Windspeed - 84° Launch Angle (Up to date)
# 1055 data points written for 11 variables.
# Simulation warnings:
#   Despliegue del sistema de recuperación con velocidad alta (23.2 m/s):  "SRAD Drogue Ringsail Parachute + Deployment Bag"
#   Despliegue del sistema de recuperación con velocidad alta (22.5 m/s):  "SRAD Main Ringsail Parachute + Deployment Bag"
#
# Tiempo (s),Altitud (m),Velocidad vertical (m/s),Velocidad total (m/s),Aceleración vertical (m/s²),Aceleración total (m/s²),Velocidad horizontal (m/s),Aceleración horizontal (m/s²),Tasa de rotación (°/s),Tasa de cabeceo (°/s),Tasa de guiñada (°/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
191.418,154.812,-6.427,6.427,0.002,0.002,5.272e-4,3.252e-7,NaN,NaN,NaN
191.747,152.703,-6.426,6.426,0.002,0.002,5.271e-4,3.25e-7,NaN,NaN,NaN
192.075,150.595,-6.425,6.425,0.002,0.002,5.27e-4,3.248e-7,NaN,NaN,NaN
192.403,148.487,-6.425,6.425,0.002,0.002,5.269e-4,3.246e-7,NaN,NaN,NaN
192.731,146.38,-6.424,6.424,0.002,0.002,5.268e-4,3.244e-7,NaN,NaN,NaN
193.059,144.273,-6.423,6.423,0.002,0.002,5.267e-4,3.242e-7,NaN,NaN,NaN
193.387,142.166,-6.423,6.423,0.002,0.002,5.265e-4,3.241e-7,NaN,NaN,NaN
193.715,140.06,-6.422,6.422,0.002,0.002,5.264e-4,3.239e-7,NaN,NaN,NaN
194.043,137.955,-6.422,6.422,0.002,0.002,5.263e-4,3.237e-7,NaN,NaN,NaN
194.37,135.849,-6.421,6.421,0.002,0.002,5.262e-4,3.235e-7,NaN,NaN,NaN
194.698,133.744,-6.42,6.42,0.002,0.002,5.261e-4,3.233e-7,NaN,NaN,NaN
195.026,131.64,-6.42,6.42,0.002,0.002,5.26e-4,3.231e-7,NaN,NaN,NaN
195.354,129.536,-6.419,6.419,0.002,0.002,5.259e-4,3.229e-7,NaN,NaN,NaN
195.682,127.432,-6.418,6.418,0.002,0.002,5.258e-4,3.227e-7,NaN,NaN,NaN
196.009,125.329,-6.418,6.418,0.002,0.002,5.257e-4,3.225e-7,NaN,NaN,NaN
196.337,123.226,-6.417,6.417,0.002,0.002,5.256e-4,3.223e-7,NaN,NaN,NaN
196.665,121.124,-6.416,6.416,0.002,0.002,5.255e-4,3.221e-7,NaN,NaN,NaN
196.992,119.022,-6.416,6.416,0.002,0.002,5.254e-4,3.219e-7,NaN,NaN,NaN
197.32,116.921,-6.415,6.415,0.002,0.002,5.253e-4,3.217e-7,NaN,NaN,NaN
197.647,114.82,-6.414,6.414,0.002,0.002,5.252e-4,3.215e-7,NaN,NaN,NaN
197.975,112.719,-6.414,6.414,0.002,0.002,5.251e-4,3.213e-7,NaN,NaN,NaN
198.302,110.619,-6.413,6.413,0.002,0.002,5.25e-4,3.212e-7,NaN,NaN,NaN
198.63,108.519,-6.413,6.413,0.002,0.002,5.249e-4,3.21e-7,NaN,NaN,NaN
198.957,106.42,-6.412,6.412,0.002,0.002,5.247e-4,3.235e-7,NaN,NaN,NaN
199.284,104.321,-6.411,6.411,0.002,0.002,5.246e-4,3.32e-7,NaN,NaN,NaN
199.612,102.222,-6.411,6.411,0.002,0.002,5.245e-4,3.361e-7,NaN,NaN,NaN
199.939,100.124,-6.41,6.41,0.002,0.002,5.244e-4,3.38e-7,NaN,NaN,NaN
200.266,98.027,-6.409,6.409,0.002,0.002,5.243e-4,3.389e-7,NaN,NaN,NaN
200.594,95.929,-6.409,6.409,0.002,0.002,5.242e-4,3.392e-7,NaN,NaN,NaN
200.921,93.833,-6.408,6.408,0.002,0.002,5.241e-4,3.393e-7,NaN,NaN,NaN
201.248,91.736,-6.407,6.407,0.002,0.002,5.24e-4,3.392e-7,NaN,NaN,NaN
201.575,89.641,-6.406,6.406,0.002,0.002,5.239e-4,3.391e-7,NaN,NaN,NaN
201.902,87.545,-6.406,6.406,0.002,0.002,5.238e-4,3.389e-7,NaN,NaN,NaN
202.229,85.45,-6.405,6.405,0.002,0.002,5.236e-4,3.387e-7,NaN,NaN,NaN
202.556,83.356,-6.404,6.404,0.002,0.002,5.235e-4,3.385e-7,NaN,NaN,NaN
202.883,81.262,-6.404,6.404,0.002,0.002,5.234e-4,3.383e-7,NaN,NaN,NaN
203.21,79.168,-6.403,6.403,0.002,0.002,5.233e-4,3.381e-7,NaN,NaN,NaN
203.537,77.075,-6.402,6.402,0.002,0.002,5.232e-4,3.379e-7,NaN,NaN,NaN
203.864,74.982,-6.402,6.402,0.002,0.002,5.231e-4,3.377e-7,NaN,NaN,NaN
204.191,72.89,-6.401,6.401,0.002,0.002,5.23e-4,3.374e-7,NaN,NaN,NaN
204.518,70.798,-6.4,6.4,0.002,0.002,5.229e-4,3.372e-7,NaN,NaN,NaN
204.844,68.707,-6.4,6.4,0.002,0.002,5.228e-4,3.37e-7,NaN,NaN,NaN
205.171,66.616,-6.399,6.399,0.002,0.002,5.227e-4,3.368e-7,NaN,NaN,NaN
205.498,64.525,-6.398,6.398,0.002,0.002,5.225e-4,3.366e-7,NaN,NaN,NaN
205.825,62.435,-6.398,6.398,0.002,0.002,5.224e-4,3.364e-7,NaN,NaN,NaN
206.151,60.345,-6.397,6.397,0.002,0.002,5.223e-4,3.362e-7,NaN,NaN,NaN
206.478,58.256,-6.396,6.396,0.002,0.002,5.222e-4,3.36e-7,NaN,NaN,NaN
206.804,56.167,-6.396,6.396,0.002,0.002,5.221e-4,3.358e-7,NaN,NaN,NaN
207.131,54.079,-6.395,6.395,0.002,0.002,5.22e-4,3.356e-7,NaN,NaN,NaN
207.457,51.991,-6.394,6.394,0.002,0.002,5.219e-4,3.354e-7,NaN,NaN,NaN
207.784,49.904,-6.394,6.394,0.002,0.002,5.218e-4,3.351e-7,NaN,NaN,NaN
208.11,47.817,-6.393,6.393,0.002,0.002,5.217e-4,3.349e-7,NaN,NaN,NaN
208.437,45.73,-6.392,6.392,0.002,0.002,5.216e-4,3.347e-7,NaN,NaN,NaN
208.763,43.644,-6.392,6.392,0.002,0.002,5.214e-4,3.345e-7,NaN,NaN,NaN
209.089,41.558,-6.391,6.391,0.002,0.002,5.213e-4,3.343e-7,NaN,NaN,NaN
209.416,39.473,-6.39,6.39,0.002,0.002,5.212e-4,3.341e-7,NaN,NaN,NaN
209.742,37.388,-6.39,6.39,0.002,0.002,5.211e-4,3.339e-7,NaN,NaN,NaN
210.068,35.304,-6.389,6.389,0.002,0.002,5.21e-4,3.337e-7,NaN,NaN,NaN
210.394,33.22,-6.388,6.388,0.002,0.002,5.209e-4,3.335e-7,NaN,NaN,NaN
210.721,31.136,-6.388,6.388,0.002,0.002,5.208e-4,3.333e-7,NaN,NaN,NaN
211.047,29.053,-6.387,6.387,0.002,0.002,5.207e-4,3.331e-7,NaN,NaN,NaN
211.373,26.97,-6.386,6.386,0.002,0.002,5.206e-4,3.329e-7,NaN,NaN,NaN
211.699,24.888,-6.386,6.386,0.002,0.002,5.205e-4,3.327e-7,NaN,NaN,NaN
212.025,22.806,-6.385,6.385,0.002,0.002,5.204e-4,3.325e-7,NaN,NaN,NaN
212.351,20.725,-6.384,6.384,0.002,0.002,5.203e-4,3.323e-7,NaN,NaN,NaN
212.677,18.644,-6.384,6.384,0.002,0.002,5.201e-4,3.321e-7,NaN,NaN,NaN
213.003,16.564,-6.383,6.383,0.002,0.002,5.2e-4,3.318e-7,NaN,NaN,NaN
213.329,14.484,-6.382,6.382,0.002,0.002,5.199e-4,3.316e-7,NaN,NaN,NaN
213.654,12.404,-6.382,6.382,0.002,0.002,5.198e-4,3.314e-7,NaN,NaN,NaN
213.98,10.325,-6.381,6.381,0.002,0.002,5.197e-4,3.312e-7,NaN,NaN,NaN
214.306,8.246,-6.38,6.38,0.002,0.002,5.196e-4,3.31e-7,NaN,NaN,NaN
214.632,6.168,-6.38,6.38,0.002,0.002,5.195e-4,3.308e-7,NaN,NaN,NaN
214.958,4.09,-6.379,6.379,0.002,0.002,5.194e-4,3.306e-7,NaN,NaN,NaN
215.283,2.012,-6.378,6.378,0.002,0.002,5.193e-4,3.304e-7,NaN,NaN,NaN
# Event GROUND_HIT occurred at t=215.599 seconds
# Event SIMULATION_END occurred at t=215.599 seconds
215.599,0,-6.378,6.378,0.002,0.002,5.192e-4,3.302e-7,NaN,NaN,NaN
